employee_id,first_name,last_name,gender,department,hire_date,birth_date,salary,email,phone,employment_status
1,Burnard,Fried,Male,Front Office,1/23/2016,1/2/2001,12260,bfried0@whitehouse.gov,193-468-0564,On Leave
2,Gery,Ringsell,Male,Front Office,3/11/2017,6/2/2017,35389,gringsell1@taobao.com,754-638-9622,Terminated
3,Christyna,McGucken,Female,Housekeeping,9/11/2018,6/24/1989,45062,cmcgucken2@chicagotribune.com,559-606-1314,On Leave
4,Marietta,Ghion,Female,Front Office,10/10/2021,6/21/1987,49873,,182-215-3734,On Leave
5,Abby,McMenamy,Male,,7/8/2017,1/12/2021,47633,amcmenamy4@mediafire.com,108-367-1844,Terminated
6,Abey,Stutard,Male,,6/21/2024,7/20/2002,37208,astutard5@typepad.com,232-722-1093,Active
7,Bianca,Dwerryhouse,Female,Housekeeping,7/31/2024,10/21/1979,21287,bdwerryhouse6@dropbox.com,854-519-2651,Active
8,Bartlett,Burtwistle,Male,Maintenance,8/18/2015,6/8/2008,28126,bburtwistle7@fc2.com,317-819-6820,On Leave
9,Eada,Mounsey,Female,Maintenance,11/2/2024,6/11/2004,11697,emounsey8@eventbrite.com,417-548-3650,On Leave
10,Sonny,Andrzejewski,Male,,5/26/2018,11/7/2020,48397,sandrzejewski9@google.nl,986-380-6323,Terminated
11,Maegan,Berthod,Female,Maintenance,11/6/2015,8/3/2007,43647,mberthoda@baidu.com,460-829-6167,Active
12,Wilfred,Everwin,Male,Kitchen,4/8/2018,3/10/2010,41425,weverwinb@businesswire.com,,Active
13,Elvira,Hilling,Female,HR,1/29/2024,7/30/2006,21575,ehillingc@tiny.cc,316-826-1353,Terminated
14,Ephraim,Claffey,Male,Kitchen,1/31/2025,2/1/2022,15005,eclaffeyd@bravesites.com,329-574-8215,Terminated
15,Rhody,de Guerre,Female,Kitchen,3/7/2025,4/9/2003,21538,rdeguerree@google.com.br,,Terminated
16,Di,Riddel,Female,Kitchen,2/24/2017,8/25/2003,15311,driddelf@posterous.com,445-585-8548,Terminated
17,Hyacintha,Challicum,Female,Security,12/18/2024,8/13/1981,20239,hchallicumg@squidoo.com,597-129-4613,On Leave
18,Skelly,Vieyra,Male,Security,6/26/2020,8/29/1971,32185,svieyrah@twitpic.com,588-740-3200,Active
19,Greer,Blanche,Female,Front Office,1/3/2017,10/20/1991,22624,gblanchei@weather.com,582-481-6348,On Leave
20,Laryssa,Punton,Female,Kitchen,7/16/2018,11/19/1987,26534,lpuntonj@census.gov,329-383-7419,On Leave
21,Glen,Cawcutt,Male,Housekeeping,6/28/2021,7/21/2019,18042,gcawcuttk@goodreads.com,205-985-0234,Terminated
22,Arlina,Trayford,Female,HR,12/7/2018,8/1/2022,31219,atrayfordl@vk.com,335-236-0467,On Leave
23,Keefer,Chifney,Male,Housekeeping,12/10/2015,1/24/2021,19685,,983-501-7882,Active
24,Lu,Salvadori,Female,Maintenance,5/6/2025,1/13/2000,36582,lsalvadorin@foxnews.com,662-723-5641,Active
25,Josias,Cowgill,Male,,2/2/2024,11/23/1979,30626,jcowgillo@topsy.com,754-750-4610,Terminated
26,Robinetta,Perrot,Female,Front Office,11/1/2016,7/6/1999,48581,rperrotp@joomla.org,188-729-9965,Active
27,Aggie,Dymoke,Female,Housekeeping,7/25/2019,9/20/1980,36568,adymokeq@opera.com,388-187-1030,Terminated
28,Eric,Wais,Male,HR,6/14/2025,2/6/2024,28916,ewaisr@smugmug.com,405-274-4281,On Leave
29,Wendell,Jinda,Male,Housekeeping,6/23/2020,2/14/1975,36461,wjindas@diigo.com,,Terminated
30,Jorgan,Canning,Male,Finance,12/30/2018,7/8/2007,29063,jcanningt@bbc.co.uk,407-674-4806,Terminated
31,Hally,Surby,Female,Finance,7/13/2023,10/2/1978,45130,,,On Leave
